id,actor_name
0,CCH Pounder
1,Johnny Depp
2,Christoph Waltz
3,Tom Hardy
4,Doug Walker
5,Daryl Sabara
6,J.K. Simmons
7,Brad Garrett
8,Chris Hemsworth
9,Alan Rickman
10,Henry Cavill
11,Kevin Spacey
12,Giancarlo Giannini
16,Peter Dinklage
19,Will Smith
20,Aidan Turner
21,Emma Stone
22,Mark Addy
24,Christopher Lee
25,Naomi Watts
26,Leonardo DiCaprio
27,Robert Downey Jr.
28,Liam Neeson
29,Bryce Dallas Howard
30,Albert Finney
34,Hugh Jackman
35,Steve Buscemi
36,Glenn Morshower
37,Bingbing Li
38,Tim Holmes
40,Jeff Bridges
41,Joe Mantegna
42,Ryan Reynolds
43,Tom Hanks
44,Christian Bale
45,Jason Statham
46,Peter Capaldi
47,Jennifer Lawrence
48,Benedict Cumberbatch
49,Eddie Marsan
51,Jake Gyllenhaal
52,Charlie Hunnam
54,Harrison Ford
55,A.J. Buckley
56,Kelly Macdonald
57,Sofia Boutella
58,John Ratzenberger
59,Tzi Ma
60,Oliver Platt
61,Robin Wright
62,Channing Tatum
64,Jim Broadbent
68,Amy Poehler
70,Chloë Grace Moretz
72,Jet Li
74,Jimmy Bennett
75,Tom Cruise
76,Jeanne Tripplehorn
77,Joseph Gordon-Levitt
79,Scarlett Johansson
82,Angelina Jolie Pitt
83,Gary Oldman
84,Tamsin Egerton
85,Keanu Reeves
87,Jon Hamm
88,Judy Greer
89,Damon Wayans Jr.
90,Jack McBrayer
92,Vivica A. Fox
93,Gerard Butler
94,Nick Stahl
95,Bradley Cooper
96,Matthew McConaughey
98,Mark Chinnery
100,Paul Walker
101,Brad Pitt
104,Nicolas Cage
107,Justin Timberlake
108,Dominic Cooper
110,Bruce Spence
111,Jennifer Garner
112,Zack Ward
113,Anthony Hopkins
114,Robert Pattinson
119,Janeane Garofalo
121,Bernie Mac
122,Robin Williams
124,Essie Davis
125,Josh Gad
126,Steve Bastoni
132,Kelli Garner
138,Matthew Broderick
140,Seychelle Gabriel
141,Philip Seymour Hoffman
143,Elisabeth Harnois
146,Ty Burrell
148,Jada Pinkett Smith
149,Toby Stephens
150,Ed Begley Jr.
151,Bruce Willis
157,John Michael Higgins
164,Sam Shepard
165,Matt Frewer
167,Kevin Rankin
171,Chris Evans
172,Colin Salmon
173,James D'Arcy
177,Don Johnson
178,Mark Rylance
183,Matt Damon
188,Jim Parsons
191,Salma Hayek
194,Toby Jones
195,Daniel Radcliffe
198,Alfre Woodard
199,Rupert Grint
209,Miguel Ferrer
214,Ronny Cox
215,Tony Curran
216,Jeremy Renner
217,Michael Gough
218,Clint Howard
221,Karen Allen
223,Suraj Sharma
226,Demi Moore
227,Michael Fassbender
228,Nathan Lane
