id,director_name
0,James Cameron
1,Gore Verbinski
2,Sam Mendes
3,Christopher Nolan
4,Doug Walker
5,Andrew Stanton
6,Sam Raimi
7,Nathan Greno
8,Joss Whedon
9,David Yates
10,Zack Snyder
11,Bryan Singer
12,Marc Forster
16,Andrew Adamson
18,Rob Marshall
19,Barry Sonnenfeld
20,Peter Jackson
21,Marc Webb
22,Ridley Scott
24,Chris Weitz
27,Anthony Russo
28,Peter Berg
29,Colin Trevorrow
32,Shane Black
33,Tim Burton
34,Brett Ratner
35,Dan Scanlon
36,Michael Bay
40,Joseph Kosinski
41,John Lasseter
42,Martin Campbell
43,Lee Unkrich
44,McG
45,James Wan
48,J.J. Abrams
50,Baz Luhrmann
51,Mike Newell
52,Guillermo del Toro
54,Steven Spielberg
55,Peter Sohn
56,Mark Andrews
57,Justin Lin
60,Roland Emmerich
61,Robert Zemeckis
62,Lana Wachowski
67,Pete Docter
68,Rob Letterman
69,Jon Favreau
70,Martin Scorsese
72,Rob Cohen
73,David Ayer
74,Tom Shadyac
75,Doug Liman
76,Kevin Reynolds
77,Stephen Sommers
81,Rupert Sanders
82,Robert Stromberg
83,Matt Reeves
84,Roland Joffé
85,Carl Rinsch
87,Mike Mitchell
88,Brad Bird
89,Don Hall
90,Rich Moore
93,Dean DeBlois
94,Jonathan Mostow
95,James Gunn
98,Hideaki Anno
101,David Fincher
102,Matthew Vaughn
103,Francis Lawrence
104,Jon Turteltaub
105,Wolfgang Petersen
106,James Bobin
107,Chris Miller
108,Duncan Jones
109,Alan Taylor
110,Michael Apted
113,Oliver Stone
121,Eric Darnell
122,Shawn Levy
123,Gavin Hood
125,Chris Buck
128,George Miller
129,Ron Howard
130,Kenneth Branagh
131,Byron Howard
132,Hoyt Yeatman
133,Jonathan Liebesman
135,Christopher McQuarrie
136,Joe Johnston
138,Steve Hickner
139,Jennifer Yuh Nelson
140,M. Night Shyamalan
143,Simon Wells
144,David Bowers
145,Joe Wright
146,Rob Minkoff
149,Lee Tamahori
