id,movie_title,duration,genres,title_year,imdb_score
0,Avatar ,178,Action,2009,7.9
1,Pirates of the Caribbean: At World's End ,169,Action,2007,7.1
2,Spectre ,148,Action,2015,6.8
3,The Dark Knight Rises ,164,Action,2012,8.5
4,Star Wars: Episode VII - The Force Awakens             ,,Documentary,,7.1
5,John Carter ,132,Action,2012,6.6
6,Spider-Man 3 ,156,Action,2007,6.2
7,Tangled ,100,Adventure,2010,7.8
8,Avengers: Age of Ultron ,141,Action,2015,7.5
9,Harry Potter and the Half-Blood Prince ,153,Adventure,2009,7.5
10,Batman v Superman: Dawn of Justice ,183,Action,2016,6.9
11,Superman Returns ,169,Action,2006,6.1
12,Quantum of Solace ,106,Action,2008,6.7
13,Pirates of the Caribbean: Dead Man's Chest ,151,Action,2006,7.3
14,The Lone Ranger ,150,Action,2013,6.5
15,Man of Steel ,143,Action,2013,7.2
16,The Chronicles of Narnia: Prince Caspian ,150,Action,2008,6.6
17,The Avengers ,173,Action,2012,8.1
18,Pirates of the Caribbean: On Stranger Tides ,136,Action,2011,6.7
19,Men in Black 3 ,106,Action,2012,6.8
20,The Hobbit: The Battle of the Five Armies ,164,Adventure,2014,7.5
21,The Amazing Spider-Man ,153,Action,2012,7
22,Robin Hood ,156,Action,2010,6.7
23,The Hobbit: The Desolation of Smaug ,186,Adventure,2013,7.9
24,The Golden Compass ,113,Adventure,2007,6.1
25,King Kong ,201,Action,2005,7.2
26,Titanic ,194,Drama,1997,7.7
27,Captain America: Civil War ,147,Action,2016,8.2
28,Battleship ,131,Action,2012,5.9
29,Jurassic World ,124,Action,2015,7
30,Skyfall ,143,Action,2012,7.8
31,Spider-Man 2 ,135,Action,2004,7.3
32,Iron Man 3 ,195,Action,2013,7.2
33,Alice in Wonderland ,108,Adventure,2010,6.5
34,X-Men: The Last Stand ,104,Action,2006,6.8
35,Monsters University ,104,Adventure,2013,7.3
36,Transformers: Revenge of the Fallen ,150,Action,2009,6
37,Transformers: Age of Extinction ,165,Action,2014,5.7
38,Oz the Great and Powerful ,130,Adventure,2013,6.4
39,The Amazing Spider-Man 2 ,142,Action,2014,6.7
40,TRON: Legacy ,125,Action,2010,6.8
41,Cars 2 ,106,Adventure,2011,6.3
42,Green Lantern ,123,Action,2011,5.6
